Category,Ticker,10d Put Skew %,25d Put Skew %,25d Call Skew %,10d Call Skew %,
Agriculture,WEAT,No data,No data,No data,No data,
Airlines,JETS,No data,No data,No data,No data,
Auto,TSLA,30,80,45,52,
Auto,F,20,16,20,16,
Bank,BAC,27,33,66,66,
Bank,SOFI,71,71,33,80,
Biotechnology,XBI,94,83,70,100,
Biotechnology,ARKG,83,83,41,66,
Consumer,XLY,76,84,53,No data,
Crypto,RIOT,30,50,22,No data,
Crypto,MSTR,42,57,72,63,
Crypto,COIN,68,42,37,41,
Crypto,MARA,78,78,100,No data,
Crypto,BTC,50,50,87,100,
Crypto,ETH,50,50,62,62,
Crypto-ETF,BITO,28,43,25,64,
Emerging Credit,EMB,64,64,35,38,
Emerging Index,VWO,33,16,33,16,
Emerging Index,EEM,45,10,75,95,
Energy,ICLN,20,30,70,90,
Energy,XLE,85,90,81,80,
Energy,XOP,66,40,93,57,
Energy,USO,66,69,33,36,
Energy,TAN,80,63,36,30,
Energy,OIH,71,64,71,69,
Energy,UNG,46,38,53,54,
Entertainment,NFLX,66,11,72,26,
Entertainment,AMC,23,18,27,No data,
Entertainment,SIRI,25,100,40,25,
Financials,XLF,52,33,45,33,
Financials,KBE,28,28,71,85,
Foreign Index,INDA,75,25,42,No data,
Foreign Index,EWJ,75,100,62,87,
Foreign Index,KWEB,42,42,42,57,
Foreign Index,FXI,68,84,31,22,
Foreign Index,EWC,16,16,60,40,
Foreign Index,EWG,No data,No data,No data,No data,
Foreign Index,EWZ,68,42,42,47,
Foreign Index,FEZ,61,23,76,76,
Foreign Index,EWW,85,85,85,100,
Foreign Index,ASHR,No data,No data,No data,No data,
Foreign Index,EFA,42,57,84,77,
FX,FXY,16,33,66,66,
FX,FXE,80,60,100,100,
Healthcare,XLV,No data,No data,No data,No data,
Healthcare,ALNY,60,100,50,75,
Industrials,XLI,30,92,53,46,
Industrials,GEO,70,40,100,100,
Internet,AMZN,55,35,85,66,
Internet,BABA,29,58,41,30,
Internet,META,80,76,76,57,
Large Cap Index,DIA,26,42,5,94,
Large Cap Index,RSP,27,54,45,63,
Large Cap Index,VTI,9,63,18,9,
Large Cap Index,SPY,74,48,39,57,
Materials,XLB,71,100,71,42,
Metals,SILJ,100,80,60,50,
Metals,GDXJ,100,41,58,100,
Metals,XME,62,87,87,75,
Metals,URNM,40,50,14,14,
Metals,GDX,44,83,61,37,
Metals,URA,90,45,81,81,
Metals,GLD,27,50,54,66,
Metals,IAU,60,100,20,No data,
Metals,SLV,45,27,68,71,
Mid Cap Index,MDY,60,80,20,20,
Rates,TLT,69,86,73,69,
Rates,IEF,30,92,46,46,
Real Estate,ITB,70,50,50,33,
Real Estate,XHB,42,46,23,30,
Real Estate,IYR,50,30,53,50,
Real Estate,XLRE,57,42,100,57,
Real Estate,KRE,19,36,86,90,
Real Estate,VNQ,No data,50,33,No data,
Retail,XRT,100,83,91,100,
Retail,COST,61,30,75,58,
Retail,NKE,6,18,81,66,
Semi,AVGO,77,33,64,40,
Semi,AMD,60,95,30,94,
Semi,TSM,47,70,52,60,
Semi,INTC,55,61,11,38,
Semi,NVDA,50,4,36,35,
Small Cap Index,IJR,50,100,33,66,
Small Cap Index,IWM,77,58,90,77,
Software,CRWD,65,40,55,70,
Software,MSFT,90,90,85,94,
Software,AAPL,73,63,26,38,
Software,PLTR,94,17,75,No data,
Specialty,SCHD,100,100,50,25,
Specialty,MSOS,91,75,91,100,
Staples,XLP,28,21,7,28,
Technology,SMH,50,58,11,57,
Technology,ARKK,21,28,78,No data,
Technology,QQQ,100,66,40,34,
Technology,XLK,75,43,25,18,
Technology,GME,45,27,100,75,
Technology,XLC,16,50,50,No data,
Telecom,VZ,76,69,53,46,
US Credit,HYG,81,56,43,20,
US Credit,LQD,37,68,31,12,
Utilities,XLU,50,33,72,50,
